기,"奇 , 箕",Gi,Ki,"Ki, Kee, Key, Gee, Ky, Khee, Kie","26,679"
반,"班 , 潘",Ban,Pan,"Bahn, Pan, Pahn, Phan, Bhan, Van","26,171"
금,琴 ，今 ，金,Geum,Kŭm,"Keum, Kum, Gum, Guem, Kuem","23,489"
왕,"王 ,汪",Wang,Wang,"Whang, Wong","23,447"
옥,玉,Ok,Ok,"Ock, Ohk, Oak, Og, Ohg, Ocg, Oag","22,964"
Ryuk (N),"Yook, Youk, Yug, Ryuk, Yuck",,,,"21,545"
인,印,In,In,"Ihn, Yin, Inn, En, Lin","20,635"
맹,孟,Maeng,Maeng,"Mang, Meang, Maing, Meng, Maeing","20,219"
모,"毛 , 牟",Mo,Mo,"Moh, Moe, Mho, Mao","19,834"
탁,卓,Tak,T'ak,"Tark, Tag, Tack, Thak","19,395"
남궁,南宮,Namgung,Namgung,"Namkung, Namgoong, Namkoong, Namkuhng, Namguhng","18,743"
어,魚,Eo,Ŏ,"Uh, Uhr, Eoh, Auh, Eu, Au","17,551"
경,"慶 , 景 , 京",Gyeong,Kyŏng,"Kyung, Kyoung, Kyeong, Kyong, Kung","15,784"
은,殷,Eun,Ŭn,"Eun, Un, Uhan, Unn","15,657"
편,片,Pyeon,P'yŏn,"Pyun, Pyon, Pyoun, Pyen, Pyeun","15,308"
Ryong (N),"Young, Ryong, Yung, Lyong",,,,"14,067"
예,"芮 , 乂",Ye,Ye,"Yea, Yae, Yeh, Yee","12,656"
봉,"奉 , 鳳",Bong,Pong,"Bhong, Bohng, Phong, Pohng, Vong","11,819"
사,"史 , 舍 , 謝",Sa,Sa,Sha,"10,118"
부,"夫 , 傅",Bu,Pu,"Boo, Pu, Bou, Poo, Booh, Buh, Pou, Pooh","9,592"
황보,皇甫,Hwangbo,Hwangbo,Hwangpo,"9,148"
Ga,Ka,"Kaa, Gaa, Kah, Gah, Gha, Kha",,,"9,090"
복,卜,Bok,Pok,"Pok, Pock, Bog, Pog, Bock","8,644"
목,"睦 , 穆 , 木",Mok,Mok,"Mock, Mog, Muk, Mork","8,191"
태,太,Tae,T'ae,"Tai, Tea, Te, Tay","8,165"
형,邢,Hyeong,Hyŏng,"Hyung, Hyoung, Hyong, Hyeung","6,640"
피,皮,Pi,P'i,"Pee, Phee, Phi, Phy, Pih","6,303"
계,桂,Gye,Kye,"Kyeh, Kye, Kay, Kae, Gae, Keh, Kei","6,282"
호,"扈 , 胡 , 鎬",Ho,Ho,"Hoh, Hu","6,106"
감,甘,Gam,Kam,"Kam, Kahm, Karm","5,998"
두,杜,Du,Tu,"Doo, Tu, Do, Dou, Tou, To, Too","5,958"
음,陰,Eum,Ŭm,"Um, Em, Yeum","5,936"
동,董,Dong,Tong,"Tong, Dhong, Tung, Thong","5,564"
빈,"賓 , 彬",Bin,Pin,"Been, Bhin, Pihn, Phin, Bean, Bihn, Pean","5,252"
온,溫,On,On,"Ohn, Ohnn","5,081"
제갈,諸葛,Jegal,Chegal,"Jaegal, Jekal, Jeagal, Chegal, Chekal","4,444"
사공,司空,Sagong,Sagong,"Sakong, Sagoung, Sakoung","4,307"
시,"柴 , 施",Si,Si,"Shi, See, Sie, Sea","3,928"
선우,鮮于,Seonu,Sŏnu,"Sunwoo, Seonwoo, Sonu, Sunoo, Sunwou, Seonwu, Sonwu","3,560"
범,"凡 , 范",Beom,Pŏm,"Bum, Bom, Poem, Pum","3,472"
승,"昇 , 承",Seung,Sŭng,"Sung, Seoung, Seong","3,304"
갈,葛,Gal,Kal,"Kal, Garl, Gahl, Karl, Carl","3,178"
좌,左,Jwa,Chwa,"Chwa, Joa, Choa, Jaw","3,130"
팽,彭,Paeng,P'aeng,"Pang, Paing, Peng, Pyeong, Pyeng","2,825"
간,簡,Gan,Kan,"Kan, Khan","2,429"
상,尙,Sang,Sang,"Shang, Sahng","2,298"
서문,西門,Seomun,Sŏmun,"Suhmun, Suhmoon, Seomoon, Somoon","1,861"
견,"堅 , 甄",Gyeon,Kyŏn,"Kyun, Kyeon, Kyen, Kyoun, Kyon, Kwion","1,670"
단,段,Dan,Tan,"Dahn, Than","1,585"
순,"荀 , 舜 , 淳 , 順",Sun,Sun,Soon,"1,296"
구,"具 , 丘 , 邱",Gu,Ku,"Koo, Ku, Goo, Kou, Kuh, Khoo, Khu","1,253"
창,"昌 , 倉",Chang,Ch'ang,"Chiang, Chahng","1,179"
당,唐,Dang,Tang,"Tang, Dhang, Thang","1,025"
옹,"邕 , 雍",Ong,Ong,"Ohng, Oung",964
종,"宗 , 鍾",Jong,Chong,Chong,962
화,化,Hwa,Hwa,"Howa, Hua",945
독고,獨孤,Dokgo,Tokko,"Dokko, Toko, Tokko, Dockko, Dogko, Togko, Doko",807
빙,氷,Bing,Ping,,727
아,阿,A,A,"Ah, Aa",632
평,平,Pyeong,P'yŏng,"Pyung, Pyong, Pyoung, Pyeng",608
대,大,Dae,Tae,"Dai, Dea, Day",606
풍,馮,Pung,P'ung,"Poong, Puhng, Poohng",586
궁,弓,Gung,Kung,"Koong, Kung, Kwoong",562
점,佔,Jeom,Chŏm,,516
흥,興,Heung,Hŭng,Huhng,462
섭,葉,Seop,Sŏp,"Sup, Sub, Seob, Sob",450
내,"乃 , 奈",Nae,Nae,"Na, Nay",440
초,"楚 , 肖",Cho,Ch'o,"Chu, Chou, Choh",351
Rang (N),"Nahng, Lang",,,,341
해,海,Hae,Hae,"Hay, Hai",322
판,判,Pan,P'an,"Pahn, Phan, Pann",290
영,"永 , 榮 , 影",Yeong,Yŏng,Young,259
필,弼,Pil,P'il,"Phil, Pihl, Peel",251
궉,鴌,Gwok,Kwŏk,"Kweag, Kwog, Gwog",248
근,斤,Geun,Kŭn,Keun,242
매,梅,Mae,Mae,"Mea, May",222
동방,東方,Dongbang,Tongbang,"Tongpang, Dongpang",220
미,米,Mi,Mi,"Mee, Mih, Meeh",199
수,"水 , 洙",Su,Su,"Soo, Suh, Sooh",199
요,姚,Yo,Yo,,198
야,夜,Ya,Ya,"Yah, Yha",180
묵,墨,Muk,Muk,Mook,179
자,慈,Ja,Cha,,178
만,萬,Man,Man,"Mann, Mahn, Mhan",172
운,"雲 , 芸",Un,Un,"Woon, Whun, Wuhn",170
환,桓,Hwan,Hwan,"Huan, Howan",157
곡,曲,Gok,Kok,"Kok, Gog",155
탄,彈,Tan,T'an,"Than, Than, Tann",155
국,"國 , 菊 , 鞠",Guk,Kuk,"Kook, Kuk, Gook, Kug, Gug, Cook",150
포,包,Po,P'o,"Pho, Poh",129
엽,葉,Yeop,Yŏp,"Yeob, Youb, Yeop, Yub, Yup, Yob",127
애,艾,Ae,Ae,"Ay, Ai",123
돈,頓,Don,Ton,"Dohn, Tohn, Thon, Dhon",115
후,"後 , 候",Hu,Hu,"Hoo, Hooh, Huh",114
학,學,Hak,Hak,"Hag, Hahk, Hahg",101
Roe (N),"Roi, Noi",,,,92
비,丕,Bi,Pi,"Bee, Pee, Bih, Bhi, Pih, Phi",90
개,介,Gae,Kae,"Gay, Kay",86
십,什,Sip,Sip,"Ship, Sihp, Seep, Sib, Seeb, Sihb, Shib",82
Ran (N),"Nahn, Rahn, Nhan, Rhan",,,,80
준,俊,Jun,Chun,"Juhn, Jhun, Choon, Joon, Chuhn",72
묘,苗,Myo,Myo,"Myoh, Myho",61
담,譚,Dam,Tam,"Tham, Dham, Dahm, Tahm",57
장곡,長谷,Janggok,Changgok,,52
강전,岡田,Gangjeon,Kangjŏn,"Gangjun, Gangjon, Kangjun, Kangjeon, Kangjoun, Gangjoun",51
삼,"森 , 杉",Sam,Sam,"Sahm, Sham, Samm",51
어금,魚金,Eogeum,Ŏgŭm,"Eokeum, Okeum, Okum, Ukeum, Ugeum, Ukum",51
저,邸,Jeo,Chŏ,,48
군,君,Gun,Kun,"Koon, Goon, Guhn, Kuhn",46
교,橋,Gyo,Kyo,"Kyoh, Gyoh",41
Ru (N),,,,,24
소봉,小峰,Sobong,Sobong,"Sohbong, Sopong, Shobong, Sohpong, Shopong",18
망절,網切,Mangjeol,Mangjŏl,"Mangjul, Mangjuhl, Mangjoul",10
증,"增 , 曾",Jeung,Chŭng,"Zeng, Jung, Cheung, Chung",6
즙,辻,Jeup,Chŭp,"Jup, Jub, Jeub, Cheup, Chup, Cheub, Chub",4
나 (S),,,,,
라 (N),羅,Na (S),,,
Ra (N),Na (S),,,,
난 (S),,,,,
란 (N),欒,Nan (S),,,
Ran (N),Nan (S),,,,
낭 (S),,,,,
랑 (N),浪 ，郞,Nang (S),,,
Rang (N),Nang (S),,,,
노 (S),,,,,
로 (N),"盧 , 魯 , 路",No (S),,,
Ro (N),No (S),,,,
뇌 (S),,,,,
뢰 (N),"雷 , 賴",Noe (S),,,
Roe (N),Noe (S),,,,
누 (S),,,,,
루 (N),樓,Nu (S),,,
Ru (N),Nu (S),,,,
양 (S),,,,,
량 (N) 1,"梁 , 楊 , 樑 , 襄",Yang (S),,,
Ryang (N) 1,Yang (S),,,,
여 (S),,,,,
려 (N) 2,"余 , 呂 , 汝",Yeo (S),,,
Ryeo (N) 2,Yŏ (S),,,,
연 (S),,,,,
련 (N) 3,"連 , 燕 , 延",Yeon (S),,,
Ryeon (N) 3,Yŏn (S),,,,
염 (S),,,,,
렴 (N),廉,Yeom (S),,,
Ryeom (N),Yŏm (S),,,,
용 (S),,,,,
룡 (N),龍,Yong (S),,,
Ryong (N),Yong (S),,,,
유 (S),,,,,
류 (N) 4,"劉, 兪, 庾",Yu (S),,,
Ryu (N) 4,Yu (S),,,,
육 (S),,,,,
륙 (N),陸,Yuk (S),,,
Ryuk (N),Yuk (S),,,,
이 (S),,,,,
리 (N) 5,"李 , 伊 , 異",I (S),,,
Ri (N) 5,Yi (S),,,,
임 (S),,,,,
림 (N) 6,林,Im (S),,,
Rim (N) 6,Im (S),,,,
